,Body Electric_Lana Del Rey
0,elvis
1,daddy
2,marilyn's
3,mother
4,jesus
5,bestest
6,friend
7,need
8,nobody
9,'cause
10,got
11,least
12,pretend
13,prechorus
14,get
15,every
16,friday
17,night
18,dancing
19,grinding
20,pale
21,moonlight
22,grand
23,ole
24,opry
25,we're
26,feeling
27,alright
28,mary
29,prays
30,rosary
31,broken
32,mind
33,said
34,worry
35,'bout
36,sing
37,body
38,electric
39,sing
40,body
41,electric
42,baby
43,sing
44,body
45,electric
46,sing
47,body
48,electric
49,sing
50,body
51,electric
52,sing
53,body
54,electric
55,i'm
56,fire
57,sing
58,body
59,electric
60,whitman
61,daddy
62,monaco's
63,mother
64,diamonds
65,bestest
66,friend
67,heaven
68,baby
69,suicide's
70,father
71,opulence
72,end
73,prechorus
74,get
75,every
76,friday
77,night
78,dancing
79,grinding
80,pale
81,moonlight
82,grand
83,ole
84,opry
85,we're
86,feeling
87,alright
88,mary
89,prays
90,rosary
91,broken
92,mind
93,said
94,dont
95,worry
96,'bout
97,sing
98,body
99,electric
100,sing
101,body
102,electric
103,baby
104,sing
105,body
106,electric
107,sing
108,body
109,electric
110,sing
111,body
112,electric
113,sing
114,body
115,electric
116,i'm
117,fire
118,sing
119,body
120,electric
121,clothes
122,still
123,smell
124,like
125,photographs
126,say
127,still
128,young
129,pretend
130,i'm
131,hurt
132,go
133,world
134,like
135,i'm
136,fun
137,prechorus
138,get
139,crazy
140,every
141,friday
142,night
143,drop
144,like
145,hot
146,pale
147,moonlight
148,grand
149,ole
150,opry
151,we're
152,feeling
153,alright
154,mary's
155,swaying
156,softly
157,heart's
158,delight
159,sing
160,body
161,electric
162,sing
163,body
164,electric
165,baby
166,sing
167,body
168,electric
169,sing
170,body
171,electric
172,sing
173,body
174,electric
175,sing
176,body
177,electric
178,i'm
179,fire
180,sing
181,body
182,electric
183,sing
184,body
185,electric
186,baby
187,sing
188,body
189,electric
190,baby
191,sing
192,body
193,electric
194,baby
