,Apologize_OneRepublic
0,i'm
1,holding
2,rope
3,got
4,ten
5,feet
6,ground
7,i'm
8,hearing
9,say
10,can't
11,make
12,sound
13,tell
14,need
15,go
16,cut
17,wait
18,tell
19,sorry
20,think
21,i'd
22,turn
23,around
24,say
25,late
26,apologize
27,late
28,said
29,late
30,apologize
31,late
32,late
33,oh
34,oh
35,i'd
36,take
37,another
38,chance
39,take
40,fall
41,take
42,shot
43,oh
44,oh
45,need
46,like
47,heart
48,needs
49,beat
50,nothing
51,new
52,yeah
53,yeah
54,loved
55,fire
56,red
57,turning
58,blue
59,say
60,sorry
61,like
62,angel
63,heaven
64,let
65,think
66,i'm
67,afraid
68,late
69,apologize
70,late
71,said
72,late
73,apologize
74,late
75,oh
76,oh
77,late
78,apologize
79,late
80,said
81,late
82,apologize
83,late
84,said
85,late
86,apologize
87,yeah
88,said
89,late
90,apologize
91,yeah
92,i'm
93,holding
94,rope
95,got
96,ten
97,feet
98,ground
