,Not Like the Movies_Katy Perry
0,put
1,put
2,like
3,nothing
4,wrong
5,fit
6,right
7,size
8,say
9,know
10,know
11,know
12,prechorus
13,feel
14,fairytale
15,feeling
16,stupid
17,girl
18,even
19,dreaming
20,could
21,like
22,movies
23,that's
24,yeah
25,he's
26,one
27,i'll
28,come
29,undone
30,world
31,stop
32,spinning
33,that's
34,beginning
35,yeah
36,snow
37,white
38,said
39,young
40,one
41,day
42,prince
43,come
44,wait
45,date
46,say
47,hard
48,meet
49,match
50,gotta
51,find
52,better
53,half
54,make
55,perfect
56,shapes
57,prechorus
58,stars
59,align
60,stop
61,time
62,can't
63,see
64,sign
65,wait
66,one
67,hundred
68,percent
69,worth
70,every
71,penny
72,spent
73,he'll
74,one
75,finishes
76,sentences
77,like
78,movies
79,that's
80,yeah
81,he's
82,one
83,he'll
84,come
85,undone
86,world
87,stop
88,spinning
89,that's
90,beginning
91,ohoh
92,yeah
93,'cause
94,know
95,looking
96,ohohoh
97,crazy
98,idea
99,made
100,perfectly
101,see
102,like
103,movies
104,that's
105,cinematic
106,dramatic
107,perfect
108,ending
109,ohh
110,like
111,movies
112,oh
113,that's
114,yeah
115,he's
116,one
117,come
118,undone
119,world
120,stop
121,spinning
122,beginning
