,I Hope That I Don't Fall in Love With You_Tom Waits
0,well
1,hope
2,fall
3,love
4,'cause
5,falling
6,love
7,makes
8,blue
9,well
10,music
11,plays
12,display
13,heart
14,see
15,beer
16,hear
17,callin'
18,hope
19,fall
20,love
21,well
22,room
23,crowded—people
24,everywhere
25,wonder
26,offer
27,chair
28,well
29,sit
30,old
31,clown
32,i'll
33,take
34,frown
35,break
36,evening's
37,gone
38,away
39,think
40,make
41,hope
42,fall
43,love
44,well
45,night
46,funny
47,things
48,inside
49,man
50,old
51,tomcat
52,feelings
53,understand
54,well
55,turn
56,around
57,look
58,light
59,cigarette
60,wish
61,guts
62,bum
63,one
64,we've
65,never
66,met
67,hope
68,fall
69,love
70,see
71,lonesome
72,like
73,late
74,like
75,company
76,well
77,turn
78,around
79,look
80,look
81,back
82,guy
83,he's
84,split—the
85,chair
86,next
87,free
88,hope
89,fall
90,love
91,closing
92,time
93,music's
94,fading
95,last
96,call
97,drinks
98,i'll
99,another
100,stout
101,well
102,turn
103,around
104,look
105,you—you're
106,nowhere
107,found
108,search
109,place
110,lost
111,face—guess
112,i'll
113,another
114,round
115,think
116,fell
117,love
