,One More Night_Phil Collins
0,one
1,night
2,one
3,night
4,one
5,night
6,i've
7,trying
8,ooh
9,long
10,let
11,know
12,let
13,know
14,feel
15,stumble
16,fall
17,help
18,back
19,make
20,see
21,please
22,give
23,one
24,night
25,give
26,one
27,night
28,one
29,night
30,'cause
31,can't
32,wait
33,forever
34,give
35,one
36,night
37,uh
38,one
39,night
40,oh
41,one
42,night
43,'cause
44,can't
45,wait
46,forever
47,i've
48,sitting
49,long
50,wasting
51,time
52,staring
53,phone
54,wondering
55,call
56,thought
57,maybe
58,alone
59,please
60,give
61,one
62,night
63,give
64,one
65,night
66,oh
67,one
68,night
69,'cause
70,can't
71,wait
72,forever
73,please
74,give
75,one
76,night
77,uh
78,one
79,night
80,oh
81,one
82,night
83,'cause
84,can't
85,wait
86,forever
87,give
88,one
89,night
90,give
91,one
92,night
93,ooh
94,one
95,night
96,'cause
97,can't
98,wait
99,forever
100,like
101,river
102,sea
103,always
104,sail
105,away
106,follow
107,give
108,one
109,night
110,give
111,one
112,night
113,oh
114,one
115,night
116,'cause
117,can't
118,wait
119,forever
120,know
121,there'll
122,never
123,time
124,ever
125,feel
126,know
127,words
128,change
129,mind
130,know
131,i'll
132,maybe
133,learn
134,give
135,one
136,night
137,give
138,one
139,night
140,ooh
141,one
142,night
143,'cause
144,can't
145,wait
146,forever
147,give
148,one
149,night
150,give
151,one
152,night
153,ooh
154,one
155,night
156,'cause
157,can't
158,wait
159,forever
160,saxophone
161,solo
