,Home Again_Michael Kiwanuka
0,home
1,home
2,one
3,day
4,know
5,i'll
6,feel
7,home
8,born
9,born
10,one
11,day
12,know
13,i'll
14,feel
15,strong
16,left
17,head
18,many
19,times
20,i've
21,told
22,talk
23,make
24,old
25,close
26,eyes
27,look
28,behind
29,moving
30,moving
31,close
32,eyes
33,look
34,behind
35,moving
36,lost
37,lost
38,one
39,day
40,know
41,paths
42,cross
43,smile
44,smile
45,one
46,day
47,hope
48,make
49,smile
50,hide
51,many
52,times
53,i've
54,told
55,speak
56,mind
57,bold
58,close
59,eyes
60,look
61,behind
62,moving
63,moving
64,close
65,eyes
66,tears
67,clear
68,feel
69,fear
70,i'd
71,feel
72,way
73,paths
74,remain
75,straight
76,home
77,home
78,one
79,day
80,know
81,i'll
82,feel
83,home
84,born
85,born
86,one
87,day
88,know
89,i'll
90,feel
91,strong
92,left
93,head
94,many
95,times
96,i've
97,told
98,talk
99,make
100,old
101,close
102,eyes
103,look
104,behind
105,moving
106,moving
107,close
108,eyes
109,look
110,behind
111,moving
