,Hold Me Tight_The Beatles
0,feels
1,right
2,hold
3,tight
4,tell
5,i'm
6,one
7,might
8,never
9,lonely
10,one
11,hold
12,hold
13,tight
14,tight
15,tonight
16,tonight
17,tonight
18,tonight
19,hold
20,tight
21,let
22,go
23,loving
24,tonight
25,tonight
26,making
27,love
28,hold
29,hold
30,tight
31,tight
32,tonight
33,tonight
34,tonight
35,tonight
36,know
37,means
38,hold
39,tight
40,alone
41,tonight
42,feels
43,right
44,hold
45,tight
46,tell
47,i'm
48,one
49,might
50,never
51,lonely
52,one
53,hold
54,hold
55,tight
56,tight
57,tonight
58,tonight
59,tonight
60,tonight
61,know
62,means
63,hold
64,tight
65,alone
66,tonight
67,feels
68,right
69,hold
70,tight
71,let
72,go
73,loving
74,tonight
75,tonight
76,making
77,love
78,hold
79,hold
80,tight
81,tight
82,tonight
83,tonight
84,tonight
85,tonight
86,oohooh
87,oohooh
88,ooooh
89,oohooh
90,oohooh
