,Crazy for You_Madonna
0,swaying
1,room
2,music
3,starts
4,strangers
5,making
6,dark
7,two
8,two
9,bodies
10,become
11,one
12,see
13,smokey
14,air
15,can't
16,feel
17,weight
18,stare
19,close
20,still
21,world
22,away
23,i'm
24,dying
25,say
26,i'm
27,crazy
28,touch
29,know
30,true
31,never
32,wanted
33,anyone
34,like
35,brand
36,new
37,feel
38,kiss
39,i'm
40,crazy
41,crazy
42,trying
43,hard
44,control
45,heart
46,walk
47,eye
48,eye
49,need
50,words
51,slowly
52,begin
53,move
54,every
55,breath
56,i'm
57,deeper
58,soon
59,two
60,standing
61,still
62,time
63,read
64,mind
65,see
66,i'm
67,crazy
68,touch
69,know
70,true
71,never
72,wanted
73,anyone
74,like
75,brand
76,new
77,feel
78,kiss
79,feel
80,kiss
81,i'm
82,crazy
83,touch
84,know
85,true
86,never
87,wanted
88,anyone
89,like
90,brand
91,new
92,feel
93,kiss
94,i'm
95,crazy
96,crazy
97,crazy
98,brand
99,new
100,i'm
101,crazy
102,know
103,true
104,i'm
105,crazy
106,crazy
107,brand
108,new
109,i'm
110,crazy
111,know
112,true
113,yeah
114,i'm
115,crazy
116,crazy
117,baby
118,i'm
119,crazy
120,crazy
121,baby
