,Replay_Iyaz
0,shawty's
1,like
2,melody
3,head
4,can't
5,keep
6,got
7,singin'
8,like
9,nananana
10,everyday
11,like
12,ipod
13,stuck
14,replay
15,replayayayay
16,shawty's
17,like
18,melody
19,head
20,can't
21,keep
22,got
23,singin'
24,like
25,ayy
26,nananana
27,everyday
28,like
29,ipod
30,stuck
31,replay
32,jjjjr
33,replay
34,remember
35,first
36,time
37,met
38,mall
39,wit'
40,yo'
41,friend
42,scared
43,approach
44,ya
45,came
46,closer
47,hopin'
48,would
49,give
50,chance
51,would
52,ever
53,knew
54,would
55,ever
56,friends
57,we're
58,real
59,worldwide
60,breaking
61,rules
62,like
63,song
64,played
65,prechorus
66,girl
67,like
68,somethin'
69,poster
70,girl
71,dime
72,say
73,girl
74,gun
75,holster
76,running
77,mind
78,day
79,ayy
80,shawty's
81,like
82,melody
83,head
84,can't
85,keep
86,got
87,singin'
88,like
89,ayy
90,nananana
91,everyday
92,like
93,ipod
94,stuck
95,replay
96,replayayayay
97,shawty's
98,like
99,melody
100,head
101,can't
102,keep
103,got
104,singin'
105,like
106,ayy
107,nananana
108,everyday
109,like
110,ipod
111,stuck
112,replay
113,replayayayay
114,see
115,around
116,globe
117,leave
118,mind
119,talk
120,phone
121,night
122,'til
123,morn'
124,girl
125,really
126,changed
127,life
128,doin'
129,things
130,never
131,i'm
132,kitchen
133,cookin'
134,things
135,likes
136,we're
137,real
138,worldwide
139,breaking
140,rules
141,someday
142,wanna
143,make
144,wife
145,prechorus
146,girl
147,like
148,somethin'
149,poster
150,girl
151,dime
152,say
153,girl
154,gun
155,holster
156,running
157,mind
158,day
159,ayy
160,shawty's
161,like
162,melody
163,head
164,can't
165,keep
166,got
167,singin'
168,like
169,ayy
170,nananana
171,everyday
172,like
173,ipod
174,stuck
175,replay
176,replayayayay
177,shawty's
178,like
179,melody
180,head
181,can't
182,keep
183,got
184,singin'
185,like
186,ayy
187,nananana
188,everyday
189,like
190,ipod
191,stuck
192,replay
193,replayayayay
194,melody
195,oh
196,girl
197,could
198,write
199,symphony
200,one
201,could
202,fill
203,fantasies
204,come
205,baby
206,girl
207,let's
208,sing
209,ayy
210,melody
211,oh
212,girl
213,could
214,write
215,symphony
216,one
217,could
218,fill
219,fantasies
220,come
221,baby
222,girl
223,let's
224,sing
225,ayy
226,na
227,nana
228,nana
229,nana
230,nana
231,nana
232,nanaa
233,shawty
234,got
235,singin'
236,na
237,nana
238,nana
239,nana
240,nana
241,nana
242,nanaa
243,got
244,singin'
245,shawty's
246,like
247,melody
248,head
249,can't
250,keep
251,got
252,singin'
253,like
254,ayy
255,nananana
256,everyday
257,like
258,ipod
259,stuck
260,replay
261,replayayayay
262,shawty's
263,like
264,melody
265,head
266,like
267,melody
268,can't
269,keep
270,got
271,singin'
272,like
273,ayy
274,nananana
275,everyday
276,like
277,ipod
278,stuck
279,replay
280,replayayayay
