,She Will Be Loved_Maroon 5
0,beauty
1,queen
2,eighteen
3,trouble
4,always
5,help
6,always
7,belonged
8,someone
9,else
10,drove
11,miles
12,miles
13,wound
14,door
15,i've
16,many
17,times
18,somehow
19,want
20,mind
21,spending
22,every
23,day
24,corner
25,pouring
26,rain
27,look
28,girl
29,broken
30,smile
31,ask
32,wants
33,stay
34,loved
35,loved
36,tap
37,window
38,knock
39,door
40,want
41,make
42,feel
43,beautiful
44,know
45,tend
46,get
47,insecure
48,matter
49,anymore
50,always
51,rainbows
52,butterflies
53,compromise
54,moves
55,us
56,along
57,yeah
58,heart
59,full
60,door's
61,always
62,open
63,come
64,time
65,want
66,yeah
67,mind
68,spending
69,every
70,day
71,corner
72,pouring
73,rain
74,look
75,girl
76,broken
77,smile
78,ask
79,wants
80,stay
81,loved
82,loved
83,loved
84,loved
85,know
86,hide
87,alone
88,car
89,know
90,things
91,make
92,know
93,goodbye
94,means
95,nothing
96,comes
97,back
98,makes
99,catch
100,every
101,time
102,falls
103,yeah
104,tap
105,window
106,knock
107,door
108,want
109,make
110,feel
111,beautiful
112,mind
113,spending
114,every
115,day
116,corner
117,pouring
118,rain
119,oh
120,look
121,girl
122,broken
123,smile
124,ask
125,wants
126,stay
127,loved
128,loved
129,loved
130,loved
131,fading
132,mind
133,spending
134,every
135,day
136,corner
137,pouring
138,rain
139,please
140,try
141,hard
142,say
143,goodbye
