,Real Love_Mary J. Blige
0,produced
1,mark
2,morales
3,mark
4,c
5,rooney
6,lovers
7,though
8,made
9,storm
10,really
11,want
12,realize
13,really
14,want
15,put
16,i’ve
17,searching
18,someone
19,satisfy
20,every
21,need
22,won’t
23,inspiration
24,real
25,love
26,need
27,real
28,love
29,i’m
30,searching
31,real
32,love
33,someone
34,set
35,heart
36,free
37,real
38,love
39,i’m
40,searching
41,real
42,love
43,ooh
44,met
45,knew
46,would
47,take
48,heart
49,run
50,told
51,loved
52,said
53,i’m
54,one
55,slowly
56,came
57,see
58,things
59,made
60,hope
61,dreams
62,inspiration
63,lead
64,towards
65,real
66,love
67,real
68,love
69,i’m
70,searching
71,real
72,love
73,someone
74,set
75,heart
76,free
77,real
78,love
79,i’m
80,searching
81,real
82,love
83,got
84,real
85,love
86,love
87,true
88,oh
89,baby
90,thought
91,love
92,true
93,thought
94,answer
95,question
96,mind
97,seems
98,wrong
99,stay
100,strong
101,maybe
102,i’ll
103,find
104,real
105,love
106,i’ve
107,tried
108,best
109,prayed
110,god
111,he’ll
112,send
113,someone
114,real
115,caress
116,guide
117,towards
118,love
119,heart
120,feel
121,know
122,faithful
123,ill
124,give
125,good
126,lovin'
127,summertime
128,winter
129,spring
130,fall
131,real
132,love
133,i’m
134,searching
135,real
136,love
137,real
138,love
139,real
140,love
141,someone
142,set
143,heart
144,free
145,real
146,love
147,i’m
148,searching
149,real
150,love
151,real
152,love
153,i’m
154,searching
155,real
156,love
157,someone
158,set
159,heart
160,free
161,real
162,love
163,i’m
164,searching
165,real
166,love
167,see
168,i'm
169,searching
170,real
171,love
172,know
173,go
174,real
175,love
176,i’m
177,searching
178,real
179,love
180,around
181,world
182,high
183,low
184,still
185,never
186,know
187,someone
188,set
189,heart
190,free
191,real
192,love
193,i’m
194,searching
195,real
196,love
197,feels
198,real
199,love
200,cause
201,seems
202,around
203,gotta
204,end
205,way
206,'cause
207,seems
208,can't
209,found
210,real
211,love
212,i’m
213,searching
214,real
215,love
216,someone
217,set
218,heart
219,free
220,real
221,love
222,i’m
223,searching
224,real
225,love
226,real
227,love
228,i’m
229,searching
230,real
231,love
232,someone
233,set
234,heart
235,free
236,real
237,love
238,i’m
239,searching
240,real
241,love
242,real
243,love
