,The Book of Love_The Magnetic Fields
0,book
1,love
2,long
3,boring
4,one
5,lift
6,damn
7,thing
8,full
9,charts
10,facts
11,figures
12,instructions
13,dancing
14,love
15,read
16,read
17,anything
18,book
19,love
20,music
21,fact
22,that's
23,music
24,comes
25,transcendental
26,really
27,dumb
28,love
29,sing
30,sing
31,anything
32,book
33,love
34,long
35,boring
36,written
37,long
38,ago
39,full
40,flowers
41,heartshaped
42,boxes
43,things
44,we're
45,young
46,know
47,love
48,give
49,things
50,ought
51,give
52,wedding
53,rings
54,love
55,give
56,things
57,ought
58,give
59,wedding
60,rings
