,Brand New Day_Sting
0,many
1,people
2,hurt
3,kind
4,love
5,affair
6,many
7,times
8,swear
9,never
10,love
11,many
12,lonely
13,sleepless
14,nights
15,many
16,lies
17,many
18,fights
19,would
20,want
21,put
22,love
23,pain
24,hear
25,say
26,love
27,cruel
28,bitter
29,way
30,paying
31,back
32,faith
33,ever
34,brain
35,could
36,need
37,leave
38,feeling
39,like
40,ghost
41,never
42,want
43,feel
44,sad
45,lost
46,one
47,day
48,could
49,looking
50,old
51,book
52,rainy
53,weather
54,see
55,picture
56,smiling
57,still
58,together
59,could
60,walking
61,street
62,chance
63,meet
64,old
65,smile
66,thinking
67,day
68,turn
69,clock
70,zero
71,honey
72,i'll
73,sell
74,stock
75,we'll
76,spend
77,money
78,we're
79,starting
80,brand
81,new
82,day
83,turn
84,clock
85,way
86,back
87,wonder
88,she'll
89,take
90,back
91,i'm
92,thinking
93,brand
94,new
95,way
96,turn
97,clock
98,zero
99,sister
100,never
101,know
102,much
103,missed
104,starting
105,brand
106,new
107,day
108,turn
109,clock
110,zero
111,boss
112,river's
113,wide
114,we'll
115,swim
116,across
117,started
118,brand
119,new
120,day
121,could
122,happen
123,like
124,happened
125,there's
126,simply
127,immunity
128,there's
129,guarantee
130,say
131,love's
132,force
133,find
134,sometimes
135,reflection
136,baby
137,wait
138,minute
139,wait
140,minute
141,wait
142,minute
143,wait
144,minute
145,wait
146,minute
147,wait
148,minute
149,wait
150,minute
151,wait
152,minute
153,turn
154,clock
155,zero
156,honey
157,i’ll
158,sell
159,stock
160,we’ll
161,spend
162,money
163,we’re
164,starting
165,brand
166,new
167,day
168,turn
169,clock
170,zero
171,mac
172,begging
173,take
174,back
175,i’m
176,thinking
177,brand
178,new
179,way
180,turn
181,clock
182,zero
183,boss
184,river’s
185,wide
186,we’ll
187,swim
188,across
189,started
190,brand
191,new
192,day
193,turn
194,clock
195,zero
196,buddy
197,don’t
198,wanna
199,fuddyduddy
200,started
201,brand
202,new
203,day
204,i'm
205,rhythm
206,tune
207,i'm
208,sun
209,moon
210,i'm
211,bat
212,cave
213,beach
214,i'm
215,wave
216,i’m
217,plow
218,you’re
219,land
220,glove
221,i'm
222,hand
223,i'm
224,train
225,station
226,i'm
227,flagpole
228,nation
229,yeah
230,i’m
231,present
232,future
233,you’re
234,wound
235,i’m
236,suture
237,you’re
238,magnet
239,pole
240,i’m
241,devil
242,soul
243,you’re
244,pupil
245,i’m
246,teacher
247,you’re
248,church
249,i’m
250,preacher
251,you’re
252,flower
253,i’m
254,rain
255,you’re
256,tunnel
257,i’m
258,train
259,stand
260,lovers
261,world
262,stand
263,counted
264,every
265,boy
266,every
267,girl
268,stand
269,lovers
270,world
271,starting
272,brand
273,new
274,day
275,you’re
276,crop
277,rotation
278,you’re
279,sum
280,equation
281,i’m
282,answer
283,question
284,follow
285,suggestion
286,turn
287,ship
288,around
289,we’ll
290,go
291,instead
292,you’re
293,stair
294,i’m
295,handle
296,you’re
297,flame
298,i’m
299,candle
300,stand
301,lovers
302,world
303,stand
304,counted
305,every
306,boy
307,every
308,girl
309,stand
310,lovers
311,world
312,we're
313,starting
314,brand
315,new
316,day
317,brand
318,new
319,day
320,brand
321,new
322,day
323,brand
324,new
325,day
