,Sweet Jane_Cowboy Junkies
0,anyone
1,who's
2,ever
3,heart
4,turn
5,around
6,break
7,anyone
8,who's
9,ever
10,played
11,part
12,turn
13,around
14,hate
15,sweet
16,jane
17,sweet
18,jane
19,sweet
20,sweet
21,jane
22,waiting
23,jimmy
24,alley
25,waiting
26,come
27,back
28,home
29,waiting
30,corner
31,thinking
32,ways
33,get
34,back
35,home
36,sweet
37,jane
38,sweet
39,jane
40,sweet
41,sweet
42,jane
43,anyone
44,who's
45,ever
46,dream
47,anyone
48,who's
49,ever
50,played
51,part
52,anyone
53,who's
54,ever
55,lonely
56,anyone
57,who's
58,ever
59,split
60,apart
61,sweet
62,jane
63,sweet
64,jane
65,sweet
66,sweet
67,jane
68,heavenly
69,wine
70,roses
71,seem
72,whisper
73,smile
74,heavenly
75,wine
76,roses
77,seem
78,whisper
79,smile
80,la
81,la
82,la
83,la
84,la
85,la
86,la
87,sweet
88,jane
89,sweet
90,sweet
91,jane
