,Ocean Avenue_Yellowcard
0,there's
1,place
2,ocean
3,avenue
4,used
5,sit
6,talk
7,sixteen
8,felt
9,right
10,sleepin'
11,day
12,stayin'
13,night
14,stayin'
15,night
16,there's
17,place
18,corner
19,cherry
20,street
21,would
22,walk
23,beach
24,bare
25,feet
26,eighteen
27,felt
28,right
29,sleepin'
30,day
31,stayin'
32,night
33,stayin'
34,night
35,could
36,find
37,things
38,would
39,get
40,better
41,could
42,leave
43,town
44,run
45,forever
46,let
47,waves
48,crash
49,take
50,away
51,there's
52,piece
53,that's
54,everywhere
55,go
56,everything
57,see
58,sleep
59,dream
60,gets
61,makebelieve
62,tonight
63,tonight
64,could
65,find
66,things
67,would
68,get
69,better
70,could
71,leave
72,town
73,run
74,forever
75,know
76,somewhere
77,somehow
78,we'll
79,together
80,let
81,waves
82,crash
83,take
84,away
85,remember
86,look
87,eyes
88,told
89,goodbye
90,beggin'
91,tonight
92,we're
93,looking
94,night
95,sky
96,ooh
97,keep
98,pretendin'
99,sun
100,rise
101,ooh
102,we'll
103,together
104,one
105,night
106,ooh
107,somewhere
108,somehow
109,could
110,find
111,things
112,would
113,get
114,better
115,could
116,leave
117,town
118,run
119,forever
120,know
121,somewhere
122,somehow
123,we'll
124,together
125,let
126,waves
127,crash
128,take
129,away
