,Love Is Blindness_U2
0,love
1,blindness
2,want
3,see
4,wrap
5,night
6,around
7,oh
8,heart
9,love
10,blindness
11,i'm
12,parked
13,car
14,crowded
15,street
16,see
17,love
18,made
19,complete
20,thread
21,ripping
22,knot
23,slipping
24,love
25,blindness
26,love
27,clockworks
28,cold
29,steel
30,fingers
31,numb
32,feel
33,squeeze
34,handle
35,blow
36,candle
37,love
38,blindness
39,love
40,blindness
41,want
42,see
43,wrap
44,night
45,around
46,oh
47,love
48,blindness
49,little
50,death
51,without
52,mourning
53,call
54,warning
55,baby
56,dangerous
57,idea
58,almost
59,makes
60,sense
61,love
62,drowning
63,deep
64,well
65,secrets
66,one
67,tell
68,take
69,money
70,honey
71,blindness
72,love
73,blindness
74,want
75,see
76,wrap
77,night
78,around
79,oh
80,love
81,blindness
