,Glory of Love_Peter Cetera
0,tonight
1,clear
2,'cause
3,we're
4,lying
5,there's
6,many
7,things
8,wanna
9,say
10,always
11,love
12,would
13,never
14,leave
15,alone
16,sometimes
17,forget
18,say
19,things
20,might
21,regret
22,breaks
23,heart
24,see
25,crying
26,wanna
27,lose
28,could
29,never
30,make
31,alone
32,man
33,fight
34,honor
35,i'll
36,hero
37,dreaming
38,we'll
39,live
40,forever
41,knowing
42,together
43,glory
44,love
45,keep
46,standing
47,tall
48,help
49,i'm
50,always
51,strong
52,beside
53,always
54,needed
55,could
56,never
57,make
58,alone
59,man
60,fight
61,honor
62,i'll
63,hero
64,dreaming
65,we'll
66,live
67,forever
68,knowing
69,together
70,glory
71,love
72,like
73,knight
74,shining
75,armor
76,long
77,time
78,ago
79,time
80,save
81,day
82,take
83,castle
84,far
85,away
86,man
87,fight
88,honor
89,i'll
90,hero
91,dreaming
92,we're
93,gonna
94,live
95,ever
96,knowing
97,together
98,glory
99,love
100,we'll
101,live
102,forever
103,knowing
104,together
105,glory
106,love
107,love
108,love
109,love
110,love
