,Love Is Strong_The Rolling Stones
0,love
1,strong
2,sweet
3,make
4,hard
5,make
6,weak
7,love
8,strong
9,sweet
10,day
11,babe
12,got
13,meet
14,glimpse
15,took
16,stranger's
17,glance
18,got
19,hooked
20,i'll
21,follow
22,across
23,stars
24,i'll
25,look
26,seedy
27,bars
28,scared
29,baby
30,dream
31,need
32,time
33,make
34,beautiful
35,team
36,beautiful
37,team
38,we're
39,strong
40,sweet
41,sweet
42,day
43,babe
44,got
45,meet
46,got
47,meet
48,anywhere
49,park
50,street
51,dark
52,i'll
53,follow
54,swirling
55,seas
56,darkened
57,woods
58,silent
59,trees
60,love
61,strong
62,you’re
63,sweet
64,sweet
65,make
66,hard
67,make
68,weak
69,scared
70,baby
71,dream
72,need
73,time
74,make
75,beautiful
76,team
77,beautiful
78,i'll
79,wait
80,dawn
81,mind
82,ripped
83,heart
84,torn
85,love
86,strong
87,sweet
88,love
89,bitter
90,taken
91,neat
92,love
93,strong
94,yeah
95,sweet
96,got
97,meet
98,love
99,strong
100,yeah
101,sweet
102,sweet
103,yeah
104,love
105,strong
106,yeah
107,sweet
108,got
109,meet
110,come
111,baby
112,come
113,baby
114,sweet
115,sweet
116,got
117,meet
118,whoa
119,yeah
