,Lost On You_LP
0,get
1,older
2,plainer
3,saner
4,remember
5,danger
6,came
7,burning
8,like
9,embers
10,falling
11,tender
12,long
13,days
14,surrender
15,years
16,ago
17,well
18,know
19,prechorus
20,smoke
21,'em
22,got
23,'em
24,cause
25,going
26,ever
27,wanted
28,i'll
29,never
30,get
31,heaven
32,cause
33,know
34,let's
35,raise
36,glass
37,two
38,things
39,i've
40,lost
41,tell
42,lost
43,could
44,cut
45,loose
46,everything
47,i've
48,lost
49,lost
50,lost
51,baby
52,lost
53,lost
54,wish
55,could
56,see
57,machinations
58,understand
59,toil
60,expectations
61,mind
62,hold
63,like
64,never
65,lost
66,patience
67,tell
68,love
69,hate
70,time
71,still
72,mine
73,prechorus
74,smoke
75,'em
76,got
77,'em
78,cause
79,going
80,ever
81,wanted
82,let's
83,take
84,drink
85,heaven
86,turn
87,around
88,let's
89,raise
90,glass
91,two
92,things
93,i've
94,lost
95,tell
96,lost
97,could
98,cut
99,loose
100,everything
101,i've
102,lost
103,lost
104,lost
105,baby
106,lost
107,lost
108,lost
109,lost
110,let's
111,raise
112,glass
113,two
114,things
115,i've
116,lost
117,tell
118,lost
119,could
120,cut
121,loose
122,everything
123,i've
124,lost
125,lost
126,lost
